cusip,description,instrument_type,currency
0NKHKWMT4,Calderwood Industries Inc,EQUITY,USD
CDV04UG00,Drayfield Capital Inc,EQUITY,EUR
B204KV1DX,Eastvale Holdings Inc,EQUITY,EUR
ZS6YAYW3Q,Fernhill Technologies Inc,EQUITY,USD
BVWS0974R,Granleigh Resources Inc,EQUITY,USD
Y0DHJHE7W,Harrowgate Industries Inc,EQUITY,USD
EZKPS4919,Inverness Capital Inc,EQUITY,USD
XCJ9WBU95,Jubilee Holdings Inc,EQUITY,USD
C64BNJJGN,Kestrelton Technologies Inc,EQUITY,EUR
JY5BCSDA8,Lanchester Resources Inc,EQUITY,USD
XVBE9TK9W,Marbridge Industries Inc,EQUITY,USD
HAEG1Q0RA,Northwick Capital Inc,EQUITY,USD
CYDDKAP5G,Oakhaven Holdings Inc,EQUITY,GBP
7ETXN36VW,Pemberly Technologies Inc,EQUITY,USD
8K0UJKWQS,Quarrydon Resources Inc,EQUITY,USD
DAVAJQCZ1,Ravensmoor Industries Inc,EQUITY,USD
ZTQSB8EFA,Stonebridge Capital Inc,EQUITY,USD
AP3LTT4QX,Thornbury Holdings Inc,EQUITY,EUR
P15S7Z228,Underhill Technologies Inc,EQUITY,USD
HEL5J6R8U,Vantagepoint Resources Inc,EQUITY,USD
YAANMJ8H7,Westmere Industries Inc,EQUITY,USD
GXESVQMZZ,Yarrowfield Capital Inc,EQUITY,USD
F499HY703,Alderton Holdings Inc,EQUITY,USD
AR22QWK7H,Brightmoor Technologies Inc,EQUITY,GBP
L7BF9W490,Calderwood Resources Inc,EQUITY,USD
0D11DKE9E,Drayfield Industries Inc,EQUITY,USD
HW5MJ1Y9B,Eastvale Capital Inc,EQUITY,USD
GHD3EAY4Z,Fernhill Holdings Inc,EQUITY,USD
4VZL8RZCJ,Granleigh Technologies Inc,EQUITY,GBP
37RWZRWNJ,Harrowgate Resources Inc,EQUITY,USD
QQ6GJHF7P,Inverness Industries Inc,EQUITY,USD
UPCZX7SRP,Jubilee Capital Inc,EQUITY,USD
FPFPLQM08,Kestrelton Holdings Inc,EQUITY,USD
S78UHS3V0,Lanchester Technologies Inc,EQUITY,GBP
N10NZPPC8,Marbridge Resources Inc,EQUITY,USD
8HZ4DBYYK,Northwick Industries Inc,EQUITY,USD
P9FGVE3BU,Oakhaven Capital Inc,EQUITY,USD
VD4YUD788,Pemberly Holdings Inc,EQUITY,EUR
A8MXC2JGZ,Quarrydon Technologies Inc,EQUITY,USD
ZAQSRTWE6,Ravensmoor Resources Inc,EQUITY,GBP
YXUYXBNL7,Stonebridge Industries Inc,EQUITY,EUR
V9LSLEGXQ,Thornbury Capital Inc,EQUITY,USD
22QCR2G0U,Underhill Holdings Inc,EQUITY,GBP
B02ECRP21,Vantagepoint Technologies Inc,EQUITY,GBP
Z7GCF837K,Westmere Resources Inc,EQUITY,GBP
FNKFFBTKA,Yarrowfield Industries Inc,EQUITY,USD
JGMANCFEE,Alderton Capital Inc,EQUITY,USD
6WUGPQAV6,Brightmoor Holdings Inc,EQUITY,USD
JQQGGMS50,Calderwood Technologies Inc,EQUITY,USD
DX4DAAE46,Drayfield Resources Inc,EQUITY,USD
YCAQMAQ65,Eastvale Industries Inc,EQUITY,USD
VP0CGX0YM,Fernhill Capital Inc,EQUITY,USD
V9XSFM20J,Granleigh Holdings Inc,EQUITY,GBP
TXQ3YYPZ9,Harrowgate Technologies Inc,EQUITY,USD
6BFA8LBW7,Inverness Resources Inc,EQUITY,USD
Z4YAHEU3W,Jubilee Industries Inc,EQUITY,GBP
1QXQCA66E,Kestrelton Capital Inc,EQUITY,USD
5L625BUBV,Lanchester Holdings Inc,EQUITY,USD
TMTXYL6TS,Marbridge Technologies Inc,EQUITY,EUR
4MXMNA28F,Northwick Resources Inc,EQUITY,USD
G7ARQMF3E,Harrowgate Capital 3.936% 2037,BOND,USD
CAPZ4FYHC,Inverness Capital 4.624% 2038,BOND,USD
B8LRZDJA1,Jubilee Capital 3.584% 2040,BOND,USD
6NH71CM8G,Kestrelton Capital 3.830% 2044,BOND,USD
6JWNRASNR,Lanchester Capital 4.049% 2034,BOND,USD
LF3RH2PH3,Marbridge Capital 4.144% 2029,BOND,EUR
NPPM70E7Y,Northwick Capital 6.278% 2036,BOND,USD
53T4M0CPL,Oakhaven Capital 5.869% 2029,BOND,EUR
ZJ76KCQ4T,Pemberly Capital 4.881% 2036,BOND,EUR
4EF2PB305,Quarrydon Capital 5.579% 2034,BOND,USD
3HUF6ZH4F,Ravensmoor Capital 3.062% 2041,BOND,USD
ZYL1XYJ9P,Stonebridge Capital 6.848% 2045,BOND,USD
NVM7NMTZV,Thornbury Capital 6.653% 2038,BOND,USD
M69R3GH98,Underhill Capital 4.269% 2038,BOND,USD
PA5SGZH4H,Vantagepoint Capital 4.859% 2038,BOND,EUR
DKLTTWS2P,Westmere Capital 2.933% 2040,BOND,USD
24CTVZPKZ,Yarrowfield Capital 4.337% 2030,BOND,EUR
NLQ7477TT,Alderton Capital 4.589% 2039,BOND,USD
JXC5Q7Q76,Brightmoor Capital 5.391% 2036,BOND,USD
GA3CJWWBE,Calderwood Capital 3.387% 2044,BOND,USD
4RYN232HG,Drayfield Capital 4.247% 2028,BOND,USD
2U2YQ59R6,Eastvale Capital 4.468% 2036,BOND,EUR
TUBU4Z0TW,Fernhill Capital 3.139% 2041,BOND,EUR
LZ8JP88U9,Granleigh Capital 3.150% 2043,BOND,USD
6VZW6MGRG,Harrowgate Capital 6.948% 2028,BOND,USD
JFBTEXQL0,Inverness Capital 6.245% 2041,BOND,USD
W8DMCC12Y,Jubilee Capital 2.532% 2042,BOND,EUR
APQ3C4EXB,Kestrelton Capital 5.707% 2036,BOND,USD
ZCST96UHW,Lanchester Capital 2.972% 2043,BOND,USD
HA32XAU77,Marbridge Capital 5.644% 2045,BOND,USD
6J698CY4P,Northwick Capital 6.004% 2030,BOND,EUR
EX1FNNM6K,Oakhaven Capital 3.035% 2037,BOND,USD
UYSJQ4JKJ,Pemberly Capital 3.967% 2045,BOND,USD
1PDWC4WAY,Quarrydon Capital 5.357% 2033,BOND,USD
17QVD4RFT,Ravensmoor Capital 4.082% 2039,BOND,USD
2BE4YDZUB,Stonebridge Capital 5.019% 2031,BOND,USD
0FF0Q93FT,Thornbury Capital 5.054% 2041,BOND,USD
ML2C9LLAM,Underhill Capital 4.906% 2039,BOND,EUR
PF47HRSW1,Vantagepoint Capital 4.508% 2037,BOND,USD
961Q2QBVJ,Westmere Capital 3.258% 2041,BOND,USD
ZT3KH2794,Yarrowfield Capital 6.410% 2028,BOND,USD
XTT1AN049,Alderton Capital 4.528% 2039,BOND,USD
N03M83NVT,Brightmoor Capital 3.329% 2031,BOND,USD
JE32U7L92,Calderwood Capital 5.861% 2029,BOND,USD
6SA68T6EB,Drayfield Capital 2.506% 2035,BOND,USD
